sub,concept_type,learner,ways,shots,n_episodes,chance,c1_mean,c1_ci_low,c1_ci_high,c2_mean,c2_ci_low,c2_ci_high,margin_mean,margin_ci_low,margin_ci_high,nmi_pred_category_mean,nmi_pred_category_ci_low,nmi_pred_category_ci_high
007b,native,kcentroid_k2,3,1,30,0.3333,0.8451,0.8096,0.8796,0.835,0.7922,0.8722,0.1792,0.1629,0.1941,0.6364,0.5756,0.6936
007b,native,kcentroid_k3,3,1,30,0.3333,0.8451,0.8096,0.8796,0.835,0.7922,0.8722,0.1792,0.1629,0.1941,0.6364,0.5756,0.6936
007b,native,linsvm,3,1,30,0.3333,0.8449,0.8107,0.8767,0.9133,0.8828,0.9406,0.2657,0.2427,0.2871,0.6263,0.5675,0.6814
007b,native,logreg,3,1,30,0.3333,0.8444,0.8107,0.876,0.9139,0.885,0.94,0.1381,0.126,0.1495,0.6258,0.5664,0.6809
007b,native,random,3,1,30,0.3333,0.3253,0.3095,0.34,0.3172,0.2995,0.3333,1.223,1.197,1.2506,0.0113,0.0091,0.0134
007b,native,centroid,3,10,30,0.3333,0.9656,0.9511,0.9771,0.9544,0.9339,0.9717,0.2747,0.2576,0.2895,0.8904,0.857,0.9206
007b,native,exemplar_knn_k1,3,10,30,0.3333,0.9522,0.9387,0.964,0.9622,0.945,0.9767,0.4954,0.4856,0.5036,0.8518,0.8183,0.8826
007b,native,exemplar_knn_k3,3,10,30,0.3333,0.9542,0.9387,0.968,0.9855,0.9761,0.9933,1.2319,1.1913,1.2701,0.8624,0.8245,0.8969
007b,native,exemplar_knn_k5,3,10,30,0.3333,0.9533,0.9376,0.9682,0.9905,0.9833,0.9961,1.8048,1.7284,1.8765,0.861,0.8234,0.8971
007b,native,kcentroid_k1,3,10,30,0.3333,0.9656,0.9511,0.9771,0.9544,0.9339,0.9717,0.2747,0.2576,0.2895,0.8904,0.857,0.9206
007b,native,kcentroid_k2,3,10,30,0.3333,0.9587,0.9449,0.9704,0.9583,0.9389,0.9744,0.274,0.2576,0.288,0.8709,0.8368,0.9026
007b,native,kcentroid_k3,3,10,30,0.3333,0.9593,0.946,0.9718,0.9583,0.9389,0.9745,0.2693,0.2529,0.2826,0.8734,0.8394,0.9055
007b,native,linsvm,3,10,30,0.3333,0.9709,0.96,0.98,0.995,0.9883,0.9989,1.0852,1.0468,1.1216,0.9024,0.8749,0.928
007b,native,logreg,3,10,30,0.3333,0.9718,0.9607,0.9804,0.995,0.9878,0.9994,0.8618,0.8181,0.9032,0.9043,0.8771,0.9283
007b,native,random,3,10,30,0.3333,0.3367,0.3211,0.3538,0.325,0.2989,0.35,1.2108,1.1815,1.2392,0.0144,0.0112,0.0179
007b,native,centroid,3,20,30,0.3333,0.9742,0.9626,0.9833,0.9606,0.9483,0.9717,0.2829,0.2669,0.2981,0.9112,0.8806,0.9353
007b,native,exemplar_knn_k1,3,20,30,0.3333,0.9611,0.9529,0.9687,0.9656,0.9533,0.9756,0.5308,0.522,0.539,0.8662,0.8398,0.8896
007b,native,exemplar_knn_k3,3,20,30,0.3333,0.9687,0.9602,0.9762,0.9905,0.9856,0.9944,1.3826,1.3415,1.4183,0.8893,0.8638,0.9118
007b,native,exemplar_knn_k5,3,20,30,0.3333,0.9684,0.9573,0.9773,0.9961,0.9933,0.9983,2.1187,2.0424,2.1864,0.8915,0.8606,0.9165
007b,native,kcentroid_k1,3,20,30,0.3333,0.9742,0.9626,0.9833,0.9606,0.9483,0.9717,0.2829,0.2669,0.2981,0.9112,0.8806,0.9353
007b,native,kcentroid_k2,3,20,30,0.3333,0.974,0.9662,0.9804,0.9633,0.9511,0.9734,0.2904,0.2754,0.3038,0.9059,0.882,0.9263
007b,native,kcentroid_k3,3,20,30,0.3333,0.9738,0.9664,0.98,0.9594,0.945,0.9711,0.2895,0.2746,0.3028,0.9057,0.8813,0.9266
007b,native,linsvm,3,20,30,0.3333,0.9838,0.9787,0.9884,0.9983,0.9956,1.0,1.3325,1.2929,1.3698,0.9348,0.9152,0.9528
007b,native,logreg,3,20,30,0.3333,0.9811,0.9747,0.9869,0.9961,0.9922,0.9994,1.2746,1.2182,1.327,0.9266,0.904,0.9477
007b,native,random,3,20,30,0.3333,0.3411,0.3264,0.3571,0.3444,0.3194,0.3706,1.2014,1.1725,1.2255,0.0133,0.0104,0.0163
007b,native,centroid,3,3,30,0.3333,0.9324,0.9127,0.9489,0.9311,0.9106,0.9506,0.2307,0.2167,0.2444,0.8044,0.7597,0.8453
007b,native,exemplar_knn_k1,3,3,30,0.3333,0.9227,0.9049,0.9378,0.9422,0.925,0.9572,0.4205,0.4088,0.4305,0.7801,0.7359,0.819
007b,native,exemplar_knn_k3,3,3,30,0.3333,0.9169,0.8944,0.9356,0.9667,0.9494,0.98,0.7962,0.7467,0.8404,0.7714,0.7222,0.8127
007b,native,exemplar_knn_k5,3,3,30,0.3333,0.918,0.8976,0.9373,0.9561,0.9389,0.9706,0.6432,0.6055,0.677,0.7786,0.7365,0.8208
007b,native,kcentroid_k1,3,3,30,0.3333,0.9324,0.9127,0.9489,0.9311,0.9106,0.9506,0.2307,0.2167,0.2444,0.8044,0.7597,0.8453
007b,native,kcentroid_k2,3,3,30,0.3333,0.9264,0.9089,0.9409,0.9328,0.9111,0.9528,0.2241,0.2106,0.2368,0.7848,0.7419,0.8227
007b,native,kcentroid_k3,3,3,30,0.3333,0.9227,0.9049,0.9378,0.9272,0.9039,0.9472,0.2133,0.1999,0.2255,0.7801,0.7359,0.819
007b,native,linsvm,3,3,30,0.3333,0.9424,0.9253,0.956,0.9844,0.9756,0.9917,0.5884,0.5575,0.6158,0.8249,0.7825,0.8597
007b,native,logreg,3,3,30,0.3333,0.9438,0.9258,0.958,0.9844,0.9756,0.9917,0.3522,0.3308,0.3714,0.8296,0.7864,0.8644
007b,native,random,3,3,30,0.3333,0.33,0.3153,0.3467,0.3306,0.3056,0.3572,1.187,1.1584,1.2182,0.0106,0.008,0.0138
007b,native,centroid,3,5,30,0.3333,0.9429,0.922,0.9596,0.93,0.9005,0.955,0.244,0.2265,0.2589,0.8317,0.7816,0.8732
007b,native,exemplar_knn_k1,3,5,30,0.3333,0.9336,0.9173,0.9493,0.9478,0.9256,0.9645,0.4526,0.4416,0.4627,0.8027,0.7585,0.8449
007b,native,exemplar_knn_k3,3,5,30,0.3333,0.9316,0.9116,0.9493,0.9767,0.9605,0.9894,1.0084,0.9539,1.0559,0.806,0.7596,0.8499
007b,native,exemplar_knn_k5,3,5,30,0.3333,0.9262,0.9051,0.9456,0.9706,0.955,0.9833,1.2428,1.1614,1.3154,0.7965,0.7513,0.8406
007b,native,kcentroid_k1,3,5,30,0.3333,0.9429,0.922,0.9596,0.93,0.9005,0.955,0.244,0.2265,0.2589,0.8317,0.7816,0.8732
007b,native,kcentroid_k2,3,5,30,0.3333,0.9378,0.9202,0.9533,0.9295,0.9006,0.955,0.2404,0.2237,0.2555,0.8164,0.7718,0.8561
007b,native,kcentroid_k3,3,5,30,0.3333,0.9349,0.9175,0.9507,0.9272,0.9,0.9511,0.2355,0.2195,0.2496,0.8064,0.7645,0.8467
007b,native,linsvm,3,5,30,0.3333,0.9498,0.9293,0.9662,0.9883,0.9778,0.9956,0.7768,0.7315,0.8161,0.8433,0.7952,0.8854
007b,native,logreg,3,5,30,0.3333,0.9491,0.9287,0.966,0.9894,0.9811,0.9956,0.5139,0.4807,0.5428,0.8435,0.7948,0.8852
007b,native,random,3,5,30,0.3333,0.3393,0.3251,0.3538,0.33,0.3028,0.3539,1.1906,1.1626,1.2172,0.0155,0.0116,0.0197
007b,native,centroid,5,1,30,0.2,0.7557,0.7249,0.7875,0.7633,0.733,0.7954,0.1416,0.133,0.1509,0.5854,0.5477,0.6224
007b,native,exemplar_knn_k1,5,1,30,0.2,0.7557,0.7249,0.7875,0.7603,0.727,0.795,0.3307,0.3204,0.3407,0.5854,0.5477,0.6224
007b,native,exemplar_knn_k3,5,1,30,0.2,0.7557,0.7249,0.7875,0.77,0.7403,0.8023,0.1416,0.133,0.1509,0.5854,0.5477,0.6224
007b,native,exemplar_knn_k5,5,1,30,0.2,0.7557,0.7249,0.7875,0.7633,0.733,0.7954,0.1416,0.133,0.1509,0.5854,0.5477,0.6224
007b,native,kcentroid_k1,5,1,30,0.2,0.7557,0.7249,0.7875,0.7633,0.733,0.7954,0.1416,0.133,0.1509,0.5854,0.5477,0.6224
007b,native,kcentroid_k2,5,1,30,0.2,0.7557,0.7249,0.7875,0.7633,0.733,0.7954,0.1416,0.133,0.1509,0.5854,0.5477,0.6224
007b,native,kcentroid_k3,5,1,30,0.2,0.7557,0.7249,0.7875,0.7633,0.733,0.7954,0.1416,0.133,0.1509,0.5854,0.5477,0.6224
007b,native,linsvm,5,1,30,0.2,0.7615,0.7335,0.7912,0.8403,0.8103,0.872,0.2121,0.1997,0.2248,0.5883,0.5541,0.623
007b,native,logreg,5,1,30,0.2,0.7621,0.7333,0.7908,0.834,0.8013,0.8663,0.1189,0.1116,0.1262,0.5899,0.5557,0.6249
007b,native,random,5,1,30,0.2,0.198,0.1903,0.2049,0.1973,0.182,0.2157,1.1039,1.0816,1.1257,0.02,0.0173,0.0229
007b,native,centroid,5,10,30,0.2,0.938,0.9269,0.9496,0.9307,0.912,0.9493,0.2342,0.2257,0.2435,0.8642,0.8435,0.8862
007b,native,exemplar_knn_k1,5,10,30,0.2,0.9143,0.9023,0.9272,0.916,0.9013,0.9313,0.4967,0.4911,0.5029,0.8123,0.7918,0.833
007b,native,exemplar_knn_k3,5,10,30,0.2,0.9201,0.9076,0.9327,0.96,0.946,0.973,1.1627,1.1309,1.1982,0.8265,0.8043,0.8481
007b,native,exemplar_knn_k5,5,10,30,0.2,0.9204,0.9076,0.9333,0.9703,0.958,0.9813,1.6669,1.6103,1.7302,0.8308,0.8072,0.8541
007b,native,kcentroid_k1,5,10,30,0.2,0.938,0.9269,0.9496,0.9307,0.912,0.9493,0.2342,0.2257,0.2435,0.8642,0.8435,0.8862
007b,native,kcentroid_k2,5,10,30,0.2,0.9345,0.9229,0.9457,0.9297,0.91,0.9483,0.233,0.2241,0.2424,0.8537,0.832,0.8744
007b,native,kcentroid_k3,5,10,30,0.2,0.9283,0.9163,0.9401,0.9263,0.907,0.9453,0.2302,0.2212,0.2395,0.8422,0.8213,0.8621
007b,native,linsvm,5,10,30,0.2,0.9484,0.9395,0.9575,0.9817,0.974,0.9887,0.9507,0.9281,0.9741,0.8786,0.8599,0.8974
007b,native,logreg,5,10,30,0.2,0.9487,0.9399,0.9573,0.9803,0.9727,0.9873,0.8372,0.8093,0.8665,0.8782,0.86,0.8962
007b,native,random,5,10,30,0.2,0.1963,0.1869,0.2059,0.1967,0.1823,0.2103,1.1062,1.0848,1.1305,0.0198,0.0175,0.0221
007b,native,centroid,5,20,30,0.2,0.9555,0.9487,0.9613,0.9217,0.9057,0.9377,0.2387,0.2304,0.2468,0.8936,0.8818,0.9052
007b,native,exemplar_knn_k1,5,20,30,0.2,0.9309,0.9236,0.9384,0.934,0.9223,0.9447,0.531,0.5246,0.538,0.837,0.8231,0.8524
007b,native,exemplar_knn_k3,5,20,30,0.2,0.9361,0.9285,0.9441,0.9677,0.9593,0.975,1.3176,1.2882,1.3491,0.8514,0.8373,0.8667
007b,native,exemplar_knn_k5,5,20,30,0.2,0.9409,0.9327,0.9485,0.9817,0.976,0.9867,1.991,1.938,2.0455,0.8625,0.8474,0.877
007b,native,kcentroid_k1,5,20,30,0.2,0.9555,0.9487,0.9613,0.9217,0.9057,0.9377,0.2387,0.2304,0.2468,0.8936,0.8818,0.9052
007b,native,kcentroid_k2,5,20,30,0.2,0.9493,0.9416,0.9565,0.929,0.9137,0.9443,0.2444,0.2365,0.2527,0.8789,0.8641,0.893
007b,native,kcentroid_k3,5,20,30,0.2,0.9435,0.9347,0.952,0.9287,0.9147,0.9423,0.2436,0.2357,0.2518,0.8674,0.8526,0.883
007b,native,linsvm,5,20,30,0.2,0.9631,0.9569,0.9689,0.9913,0.9873,0.9947,1.1966,1.1716,1.2213,0.9057,0.8932,0.9182
007b,native,logreg,5,20,30,0.2,0.9615,0.9553,0.9669,0.9873,0.981,0.9927,1.2465,1.2108,1.2836,0.9028,0.8904,0.9149
007b,native,random,5,20,30,0.2,0.1988,0.1921,0.2059,0.208,0.1893,0.2273,1.1167,1.0903,1.1411,0.0222,0.0189,0.0258
007b,native,centroid,5,3,30,0.2,0.8823,0.8624,0.9017,0.854,0.8333,0.8743,0.1859,0.1766,0.1944,0.769,0.7397,0.7959
007b,native,exemplar_knn_k1,5,3,30,0.2,0.8519,0.8331,0.87,0.8487,0.8263,0.8703,0.4189,0.4106,0.4268,0.7156,0.6892,0.7395
007b,native,exemplar_knn_k3,5,3,30,0.2,0.8563,0.8349,0.8765,0.9123,0.894,0.9297,0.6811,0.6444,0.7185,0.7236,0.6942,0.7511
007b,native,exemplar_knn_k5,5,3,30,0.2,0.8601,0.8395,0.8796,0.8983,0.8803,0.9164,0.5721,0.5434,0.5986,0.7389,0.7112,0.7657
007b,native,kcentroid_k1,5,3,30,0.2,0.8823,0.8624,0.9017,0.854,0.8333,0.8743,0.1859,0.1766,0.1944,0.769,0.7397,0.7959
007b,native,kcentroid_k2,5,3,30,0.2,0.8621,0.844,0.8809,0.8403,0.815,0.866,0.178,0.1693,0.1863,0.7326,0.7056,0.7572
007b,native,kcentroid_k3,5,3,30,0.2,0.8519,0.8331,0.87,0.84,0.8153,0.8647,0.1694,0.1615,0.177,0.7156,0.6892,0.7395
007b,native,linsvm,5,3,30,0.2,0.8924,0.8737,0.9104,0.9427,0.9263,0.958,0.4862,0.4677,0.5053,0.7776,0.7501,0.805
007b,native,logreg,5,3,30,0.2,0.8951,0.878,0.9121,0.9377,0.9227,0.9527,0.3167,0.3027,0.3308,0.7814,0.756,0.8075
007b,native,random,5,3,30,0.2,0.2035,0.1944,0.2139,0.189,0.172,0.205,1.1037,1.085,1.1223,0.0217,0.0189,0.025
007b,native,centroid,5,5,30,0.2,0.92,0.9055,0.9352,0.882,0.8623,0.9023,0.2045,0.1957,0.2137,0.8306,0.8064,0.8559
007b,native,exemplar_knn_k1,5,5,30,0.2,0.8868,0.8695,0.9052,0.8907,0.8713,0.9107,0.4513,0.4439,0.4588,0.7619,0.7335,0.7925
007b,native,exemplar_knn_k3,5,5,30,0.2,0.8959,0.8793,0.9123,0.9457,0.9307,0.9607,0.9125,0.877,0.9487,0.7839,0.7584,0.8118
007b,native,exemplar_knn_k5,5,5,30,0.2,0.8992,0.8827,0.9152,0.95,0.934,0.9653,1.095,1.0444,1.1449,0.7957,0.7716,0.821
007b,native,kcentroid_k1,5,5,30,0.2,0.92,0.9055,0.9352,0.882,0.8623,0.9023,0.2045,0.1957,0.2137,0.8306,0.8064,0.8559
007b,native,kcentroid_k2,5,5,30,0.2,0.9041,0.8876,0.9213,0.882,0.8576,0.904,0.2019,0.1935,0.2107,0.7998,0.7747,0.8271
007b,native,kcentroid_k3,5,5,30,0.2,0.8981,0.8815,0.9153,0.876,0.8547,0.897,0.1958,0.1877,0.2041,0.7826,0.7556,0.8114
007b,native,linsvm,5,5,30,0.2,0.9309,0.9181,0.944,0.9697,0.9613,0.9783,0.6634,0.6434,0.6854,0.8421,0.8193,0.8664
007b,native,logreg,5,5,30,0.2,0.9301,0.9165,0.9441,0.9637,0.9537,0.974,0.4835,0.4642,0.5033,0.8419,0.8169,0.8676
007b,native,random,5,5,30,0.2,0.1948,0.1855,0.204,0.1873,0.1713,0.2037,1.0964,1.0731,1.1212,0.0217,0.0197,0.0237
